iter	Passed	Remaining
0	2108	2106567
1	4005	1998879
2	5677	1886689
3	7369	1834941
4	9067	1804392
5	10709	1774221
6	12379	1756127
7	14081	1746151
8	15741	1733291
9	17406	1723281
10	19058	1713569
11	20704	1704663
12	22330	1695407
13	23973	1688402
14	25590	1680456
15	27223	1674227
16	28892	1670652
17	30537	1665975
18	32186	1661861
19	33832	1657784
20	35466	1653423
21	37113	1649857
22	38767	1646780
23	40422	1643848
24	42051	1640013
25	43705	1637280
26	45327	1633480
27	46966	1630401
28	48594	1627086
29	50252	1624836
30	51876	1621570
31	53491	1618117
32	55133	1615583
33	56759	1612632
34	58426	1610892
35	60084	1608931
36	61762	1607483
37	63423	1605625
38	65089	1603871
39	66860	1604645
40	68579	1604079
41	70262	1602645
42	71887	1599911
43	73593	1598987
44	75267	1597338
45	76940	1595682
46	78591	1593576
47	80245	1591528
48	81895	1589441
49	83526	1586998
50	85131	1584113
51	86747	1581477
52	88397	1579474
53	90051	1577569
54	91659	1574882
55	93304	1572846
56	94947	1570791
57	96624	1569309
58	98291	1567672
59	100006	1566775
60	101697	1565476
61	103313	1563040
62	104995	1561603
63	106841	1562552
64	108484	1560510
65	110168	1559054
66	111824	1557194
67	113474	1555265
68	115085	1552816
69	116700	1550454
70	118345	1548497
71	120002	1546695
72	121656	1544865
73	123313	1543083
74	124964	1541223
75	126627	1539528
76	128323	1538218
77	130015	1536849
78	131675	1535098
79	133307	1533033
80	134967	1531293
81	136583	1529066
82	138203	1526896
83	139877	1525331
84	141532	1523554
85	143136	1521242
86	144770	1519256
87	146380	1517029
88	148022	1515147
89	149674	1513376
90	151286	1511199
91	152944	1509496
92	154609	1507855
93	156256	1506042
94	157871	1503933
95	159553	1502460
96	161196	1500619
97	162872	1499087
98	164539	1497471
99	166202	1495826
100	167856	1494085
101	169542	1492635
102	171358	1492319
103	173652	1496081
104	175718	1497793
105	177340	1495681
106	179012	1494005
107	180689	1492359
108	182393	1490944
109	184187	1490241
110	185892	1488813
111	187525	1486807
112	189201	1485151
113	190820	1483041
114	192455	1481069
115	194140	1479484
116	195747	1477307
117	197376	1475309
118	199047	1473622
119	200666	1471554
120	202324	1469777
121	203933	1467655
122	205561	1465668
123	207214	1463866
124	208833	1461833
125	210471	1459937
126	212119	1458112
127	213764	1456269
128	215440	1454641
129	217074	1452731
130	218688	1450692
131	220322	1448790
132	221924	1446683
133	223528	1444593
134	225143	1442584
135	226766	1440634
136	228415	1438851
137	230078	1437159
138	231733	1435416
139	233349	1433433
140	234999	1431666
141	236718	1430312
142	238422	1428865
143	240056	1427000
144	241722	1425326
145	243331	1423323
146	245016	1421760
147	246716	1420288
148	248426	1418865
149	250113	1417308
150	251810	1415809
151	253508	1414307
152	255180	1412666
153	256904	1411305
154	258576	1409660
155	260271	1408133
156	261955	1406549
157	263616	1404840
158	265330	1403413
159	266970	1401594
160	268631	1399889
161	270269	1398062
162	271889	1396143
