iter	Logloss
0	0.6909014225
1	0.6882797686
2	0.6858754855
3	0.6836590207
4	0.6813534183
5	0.6789566304
6	0.6768982278
7	0.6743865692
8	0.6716419589
9	0.6695855494
10	0.6675001981
11	0.6650961183
12	0.662700603
13	0.6604005007
14	0.6584145152
15	0.6562193762
16	0.6534026108
17	0.6510416839
18	0.6491218636
19	0.6471916443
20	0.6456625319
21	0.6439408317
22	0.6422566067
23	0.640182724
24	0.6385756973
25	0.6364145845
26	0.6343432662
27	0.6328236623
28	0.6310897806
29	0.6292585558
30	0.6272125043
31	0.6256853549
32	0.6235071179
33	0.6215096302
34	0.6199328259
35	0.618435689
36	0.6164520262
37	0.6148308744
38	0.6132149635
39	0.611836851
40	0.6099963386
41	0.608487126
42	0.6071995202
43	0.605261491
44	0.6038072641
45	0.6022447236
46	0.6000289859
47	0.5989877507
48	0.5981835291
49	0.5967720407
50	0.5958173926
51	0.5945650694
52	0.5931691837
53	0.5918380308
54	0.5906364552
55	0.5893531625
56	0.5884013231
57	0.5874544521
58	0.5861237392
59	0.5846969295
60	0.5831771455
61	0.5820382669
62	0.5805584681
63	0.5792613004
64	0.5780917159
65	0.5763475024
66	0.5750347449
67	0.574048921
68	0.5728077059
69	0.5716911466
70	0.5705675323
71	0.5696548433
72	0.5685101916
73	0.5671938422
74	0.5662126669
75	0.5652753956
76	0.5641665508
77	0.5629563876
78	0.5617923132
79	0.5605341098
80	0.5594755437
81	0.5586583881
82	0.5577329695
83	0.5567174484
84	0.5555722646
85	0.5543772514
86	0.5533789958
87	0.5521445911
88	0.5511184456
89	0.5502142637
90	0.548963572
91	0.5480299247
92	0.5472678939
93	0.5462485709
94	0.545001689
95	0.5443329084
96	0.5433611633
97	0.5420690154
98	0.5412315016
99	0.540327287
100	0.5394790847
101	0.5386364717
102	0.5380395821
103	0.5369517323
104	0.5361416319
105	0.5352240264
106	0.5344160507
107	0.5336463285
108	0.532490028
109	0.5315233584
110	0.5306858114
111	0.5296866021
112	0.5286509281
113	0.5279431456
114	0.5269040471
115	0.5262008556
116	0.5252907425
117	0.5244896457
118	0.5237463272
119	0.5227621274
120	0.5215832521
121	0.5210987012
122	0.5202277321
123	0.5191074156
124	0.5181008316
125	0.516976732
126	0.5159202206
127	0.5149053421
128	0.5138661099
129	0.5132233373
130	0.5122154978
131	0.5113526008
132	0.5104516524
133	0.5097390785
134	0.508686763
135	0.5079139873
136	0.5068505437
137	0.5059573966
138	0.5051537828
139	0.5040933312
140	0.5035820612
141	0.5028326698
142	0.501918865
143	0.5010636512
144	0.5003506095
145	0.4993149438
146	0.4978992436
147	0.4966708756
148	0.4956400051
149	0.4951430877
150	0.4943306375
151	0.4933439222
152	0.4923486142
153	0.4913688402
154	0.4903621329
155	0.4894750181
156	0.4887320671
157	0.4881239771
158	0.4873102565
159	0.4866061496
160	0.4860562965
161	0.4852193266
162	0.4844691679
163	0.4837571089
164	0.4833835242
165	0.4826331699
166	0.4818330915
167	0.4811980209
168	0.4805378682
169	0.47986659
170	0.4794622567
171	0.4789107594
172	0.4781878346
173	0.4774733065
174	0.4765186736
175	0.4760428617
176	0.4754427543
177	0.474782938
178	0.4739322823
179	0.4732586413
180	0.4723702563
181	0.4718253862
182	0.4710865929
183	0.4701904042
184	0.4696191893
185	0.4690604388
186	0.4683379907
187	0.4678030834
188	0.4671458082
189	0.4667754549
190	0.4659650724
191	0.4652201086
192	0.4642947639
193	0.4634059424
194	0.4629847029
195	0.4623194429
196	0.4613389599
197	0.4609573234
198	0.4599626324
199	0.459226835
200	0.4583360499
201	0.457651414
202	0.4567342153
203	0.4560076936
204	0.4552665589
205	0.454561803
206	0.4537332392
207	0.4534049855
208	0.4529491744
209	0.451826409
210	0.4508613392
211	0.4502322377
212	0.4498404352
213	0.4492208177
214	0.4484905671
215	0.4478227973
216	0.4471268509
217	0.4467087273
218	0.4459560512
219	0.4454860989
220	0.4449671723
221	0.4445114403
222	0.4440224592
223	0.4436132962
224	0.442567461
225	0.4420737203
226	0.4412614665
227	0.4404402413
228	0.4396705976
229	0.4391264747
230	0.4384530165
231	0.4377863655
232	0.4372242875
233	0.436562604
234	0.4358449123
235	0.4352479934
236	0.4345761056
237	0.4340243062
238	0.4332960488
239	0.4328050058
240	0.431787281
241	0.4314408775
242	0.4307354784
243	0.430101759
244	0.4294932186
245	0.4289839417
246	0.4285770133
247	0.4279977651
248	0.4274867039
249	0.4268652078
250	0.4262188754
251	0.4258370316
252	0.4251097564
253	0.4247262058
254	0.42369646
255	0.4232785716
256	0.4222916279
257	0.4218621862
258	0.4212188082
259	0.4205474271
260	0.4197762622
261	0.4195209045
262	0.418842689
263	0.4185668536
264	0.4181270494
265	0.4175224682
266	0.4170344151
267	0.4164500592
268	0.4158885573
269	0.4156405058
270	0.4149347278
271	0.414367427
272	0.4139145309
273	0.4135173004
274	0.4128116503
275	0.4123096882
276	0.4113862569
277	0.4111422581
278	0.4103507045
279	0.4098132034
280	0.4090551093
281	0.4087196498
282	0.4081965809
283	0.4078061019
284	0.4074784778
285	0.4071853565
286	0.4065976074
287	0.4061442247
288	0.4058901373
289	0.405568017
290	0.4051389744
291	0.4047591829
292	0.4042853008
293	0.4037273275
294	0.4031625031
295	0.4026901241
296	0.4020418914
297	0.4014959632
298	0.4008075005
299	0.4005667001
300	0.3998136279
301	0.3992432153
302	0.3987437689
303	0.3984989119
304	0.3979388538
305	0.3976521828
306	0.3970941943
307	0.3968553293
308	0.3962865527
309	0.3959164691
310	0.3955932936
311	0.3951485636
312	0.3947572886
313	0.394078128
314	0.3935594342
315	0.3934593244
316	0.3929968339
317	0.3925786716
318	0.3919056851
319	0.3916037491
320	0.3907337689
321	0.3902111587
322	0.3894321394
323	0.3889736792
324	0.388562118
325	0.3882295842
326	0.3877924668
327	0.3873625844
328	0.38686755
329	0.3865705525
330	0.3860361311
331	0.3856325082
332	0.3851410599
333	0.3847617271
334	0.3845294316
335	0.3841809865
336	0.3836700611
337	0.3832992755
338	0.3829961561
339	0.3827245889
